Time: 1576762985, Messages: 0, Members Joined: 0
Time: 1576762990, Messages: 0, Members Joined: 0
Time: 1576762995, Messages: 0, Members Joined: 0
Time: 1576763000, Messages: 0, Members Joined: 0
Time: 1576763005, Messages: 0, Members Joined: 0
Time: 1576763010, Messages: 0, Members Joined: 0
Time: 1576763015, Messages: 0, Members Joined: 0
Time: 1576763020, Messages: 0, Members Joined: 0
Time: 1576763025, Messages: 0, Members Joined: 0
Time: 1576763030, Messages: 0, Members Joined: 0
Time: 1576763035, Messages: 0, Members Joined: 0
Time: 1576763040, Messages: 0, Members Joined: 0
Time: 1576763045, Messages: 0, Members Joined: 0
Time: 1576763050, Messages: 1, Members Joined: 0
Time: 1576763055, Messages: 2, Members Joined: 0
Time: 1576763060, Messages: 2, Members Joined: 0
Time: 1576763065, Messages: 0, Members Joined: 0
Time: 1576763070, Messages: 0, Members Joined: 0
Time: 1576763075, Messages: 0, Members Joined: 0
Time: 1576763080, Messages: 0, Members Joined: 0
Time: 1576763110, Messages: 0, Members Joined: 0
Time: 1576763141, Messages: 0, Members Joined: 0
Time: 1576763170, Messages: 0, Members Joined: 0
Time: 1576763200, Messages: 0, Members Joined: 0
Time: 1576763230, Messages: 0, Members Joined: 0
Time: 1576763261, Messages: 0, Members Joined: 0
Time: 1576763290, Messages: 0, Members Joined: 0
Time: 1576763513, Messages: 0, Members Joined: 0
Time: 1576763543, Messages: 3, Members Joined: 0
Time: 1576763573, Messages: 0, Members Joined: 0
Time: 1576763603, Messages: 0, Members Joined: 0
Time: 1576763633, Messages: 0, Members Joined: 0
Time: 1576763663, Messages: 0, Members Joined: 0
Time: 1576763693, Messages: 3, Members Joined: 0
Time: 1576763723, Messages: 5, Members Joined: 0
Time: 1576763753, Messages: 2, Members Joined: 0
Time: 1576763783, Messages: 2, Members Joined: 0
Time: 1576763813, Messages: 0, Members Joined: 0
Time: 1576763829, Messages: 0, Members Joined: 0
Time: 1576763870, Messages: 1, Members Joined: 0
Time: 1576763930, Messages: 2, Members Joined: 0
Time: 1576763990, Messages: 5, Members Joined: 0
Time: 1576764050, Messages: 4, Members Joined: 0
Time: 1576764110, Messages: 0, Members Joined: 0
Time: 1576764170, Messages: 0, Members Joined: 0
Time: 1576764230, Messages: 0, Members Joined: 0
Time: 1576764290, Messages: 0, Members Joined: 0
Time: 1576764338, Messages: 0, Members Joined: 0
Time: 1576764398, Messages: 3, Members Joined: 0
Time: 1576764462, Messages: 0, Members Joined: 0
Time: 1576764508, Messages: 0, Members Joined: 0
Time: 1576764673, Messages: 0, Members Joined: 0
Time: 1576764686, Messages: 0, Members Joined: 0
Time: 1576764746, Messages: 0, Members Joined: 0
Time: 1576764760, Messages: 0, Members Joined: 0
Time: 1576764812, Messages: 0, Members Joined: 0
Time: 1576764872, Messages: 10, Members Joined: 0
Time: 1576764989, Messages: 0, Members Joined: 0
Time: 1576765049, Messages: 2, Members Joined: 0
Time: 1576765079, Messages: 0, Members Joined: 0
Time: 1576765130, Messages: 0, Members Joined: 0
Time: 1576765186, Messages: 0, Members Joined: 0
Time: 1576765208, Messages: 0, Members Joined: 0
Time: 1576765309, Messages: 0, Members Joined: 0
Time: 1576765387, Messages: 0, Members Joined: 0
Time: 1576765447, Messages: 0, Members Joined: 0
Time: 1576765507, Messages: 3, Members Joined: 0
Time: 1576765567, Messages: 4, Members Joined: 0
Time: 1576765627, Messages: 0, Members Joined: 0
Time: 1576765658, Messages: 0, Members Joined: 0
Time: 1576765716, Messages: 0, Members Joined: 0
Time: 1576765775, Messages: 0, Members Joined: 0
Time: 1576765835, Messages: 2, Members Joined: 0
Time: 1576765895, Messages: 10, Members Joined: 0
Time: 1576765955, Messages: 12, Members Joined: 0
Time: 1576766015, Messages: 0, Members Joined: 0
Time: 1576766036, Messages: 0, Members Joined: 0
Time: 1576766079, Messages: 0, Members Joined: 0
Time: 1576766139, Messages: 4, Members Joined: 0
Time: 1576766191, Messages: 0, Members Joined: 0
Time: 1576766213, Messages: 0, Members Joined: 0
Time: 1576766267, Messages: 0, Members Joined: 0
Time: 1576766306, Messages: 0, Members Joined: 0
Time: 1576766339, Messages: 0, Members Joined: 0
Time: 1576766419, Messages: 0, Members Joined: 0
Time: 1576766469, Messages: 0, Members Joined: 0
Time: 1576767217, Messages: 0, Members Joined: 0
Time: 1576767277, Messages: 4, Members Joined: 0
Time: 1576767337, Messages: 0, Members Joined: 0
Time: 1576767397, Messages: 0, Members Joined: 0
Time: 1576767457, Messages: 0, Members Joined: 0
Time: 1576767517, Messages: 0, Members Joined: 0
Time: 1576767577, Messages: 0, Members Joined: 0
Time: 1576767637, Messages: 0, Members Joined: 0
Time: 1576767697, Messages: 0, Members Joined: 0
Time: 1576767757, Messages: 0, Members Joined: 0
Time: 1576767817, Messages: 0, Members Joined: 0
Time: 1576767877, Messages: 0, Members Joined: 0
Time: 1576767917, Messages: 0, Members Joined: 0
Time: 1576767977, Messages: 4, Members Joined: 0
Time: 1576767999, Messages: 0, Members Joined: 0
Time: 1576768041, Messages: 0, Members Joined: 0
Time: 1576768091, Messages: 0, Members Joined: 0
Time: 1576768151, Messages: 6, Members Joined: 0
Time: 1576768211, Messages: 2, Members Joined: 0
Time: 1576768234, Messages: 0, Members Joined: 0
Time: 1576768294, Messages: 8, Members Joined: 0
Time: 1576768344, Messages: 0, Members Joined: 0
Time: 1576768404, Messages: 4, Members Joined: 0
Time: 1576768437, Messages: 0, Members Joined: 0
Time: 1576768497, Messages: 0, Members Joined: 0
Time: 1576768557, Messages: 0, Members Joined: 0
Time: 1576768617, Messages: 0, Members Joined: 0
